53839529,,,,,,,,,,,,,,,,
,12212466,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.226830848,,,,,,,,,164515253,,0,,,,,
,,,,39146055,,21463974,,,24826640,,18078426,,,,,
,,,,37663707,,17674268,,,26968373,,22836959,,,104099452,52504553,0.504369158
,,,,26454983,,11625376,,,23424638,,20932734,,,6864602,5039736,0.734162884
,,,,19208842,,7640218,,,30552107,,27097602,,,68548437,38275282,0.558368413
,,,,9232503,,3871311,,,24740946,,22752473,,,72626809,42851169,0.590018611
17378649,14430921,,,11289005,,4398558,,,27877307,,25485778,,,,,
,,,,,,,,,24280683,,22470207,,,,,
0.830382212,,,,142995095,,66673705,,,25258169,,23157384,,,,,
,,,,,,,,,25899454,,23299497,,,,,
,,,,,0.466265679,,,,24592293,,22079806,,,,,
,,,,,,,,,21217467,,19179012,,,,,
719405,,549664,,,,,,,27958147,,24230172,,,,,
,0.764053628,,,,,,,,20859088,,18280414,,,,,
,,,,,,,,,111424222,,92744730,,,,,
,,,,,,,,,101413965,,78779525,,,,,
,,,35014503,17676841,,,,,,,,,,,,
32997440,14586870,,0.504843407,,,,,,705808752,,461404719,,,,,
,0.442060657,,,,,,,,,0.653724848,,,,,,
